metric,comid,data_type,gageid,p50_obs,result_type,p50_pred,status_code,status,alteration_type,median_in_iqr,refgage
Peak_Fre_2,22598685,observed,10254730,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,22598685,observed,10254730,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Dur,22603541,observed,10254970,4,predicted,5,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,22603541,observed,10254970,0.025751547303271442,predicted,0.0759493670886077,-1,likely_altered,low,FALSE,Non-Ref
Peak_Dur_10,22603541,observed,10254970,3,predicted,1,1,likely_unaltered,none_found,FALSE,Non-Ref
Peak_Dur_2,22603541,observed,10254970,4,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22603541,observed,10254970,1,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,22603541,observed,10254970,2,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_2,22603541,observed,10254970,1,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,22603541,observed,10254970,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Dur,22599619,observed,10255550,3,predicted,5,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,22599619,observed,10255550,0.027257240204429302,predicted,0.0759493670886077,-1,likely_altered,low,FALSE,Non-Ref
Peak_Dur_10,22599619,observed,10255550,3,predicted,1,1,likely_unaltered,none_found,FALSE,Non-Ref
Peak_Dur_2,22599619,observed,10255550,3,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22599619,observed,10255550,3,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,22599619,observed,10255550,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_2,22599619,observed,10255550,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,22599619,observed,10255550,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Dur,22598811,observed,10255885,6,predicted,4,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,22598811,observed,10255885,0.22369281045751635,predicted,0.0714285714285714,-1,likely_altered,high,FALSE,Non-Ref
Peak_Dur_10,22598811,observed,10255885,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,22598811,observed,10255885,1,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,22598811,observed,10255885,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
